"id","name","nickname","sport","professionalstart","professionalend","teamid","sponsor","highestpaid","lowerpaid"
1,"Messi","La Pulga","Football","2003-01-01",NULL,1,"Adidas","12000000.00","500000.00"
2,"Cristiano Ronaldo","CR7","Football","2002-01-01",NULL,2,"Nike","1500000.00","600000.00"
3,"Lebron James","King James","Basketball","2003-01-01",NULL,3,"Nike","2500000.00","800000.00"
4,"Michael Jordan","MJ","Basketball","1984-01-01","2003-01-01",4,"Nike","2000000.00","700000.00"
5,"Shaq","Shaq","Basketball","1992-01-01","2011-01-01",5,"Reebok","1800000.00","600000.00"
6,"Eden Hazard","Hazard","Football","2006-01-01",NULL,6,"Nike","1200000.00","550000.00"
7,"Luka Doncic","Luka","Basketball","2015-01-01",NULL,7,"Jordan Brand","1800000.00","650000.00"
8,"Neymar Jr","Ney","Football","2009-01-01",NULL,8,"Puma","2200000.00","700000.00"
9,"Mbappé","Mbappé","Football","2015-01-01",NULL,9,"Nike","2000000.00","750000.00"
10,"Lewis Hamilton","Hamilton","Formula 1","2007-01-01",NULL,10,"Mercedes","3000000.00","900000.00"
11,"Jimmy Butler","Jimmy Buckets","Basketball","2011-01-01",NULL,11,"Jordan Brand","1600000.00","600000.00"
12,"Fernando Torres","El Niño","Football","2001-01-01","2019-01-01",12,"Adidas","1400000.00","500000.00"
13,"James Harden","The Beard","Basketball","2009-01-01",NULL,13,"Adidas","2200000.00","800000.00"
14,"Mohamed Salah","Mo Salah","Football","2010-01-01",NULL,14,"Nike","1800000.00","650000.00"
15,"Patrick Mahomes","Mahomes","American Football","2017-01-01",NULL,15,"Oakley","2500000.00","850000.00"
16,"Travis Kelce","Kelce","American Football","2013-01-01",NULL,16,"Nike","2000000.00","700000.00"
17,"Thiago Silva","Thiago Silva","Football","2003-01-01",NULL,17,"Adidas","1600000.00","600000.00"
18,"Manuel Neuer","Neuer","Football","2004-01-01",NULL,18,"Adidas","1900000.00","700000.00"
19,"Giannis Antetokounmpo","Greek Freak","Basketball","2013-01-01",NULL,19,"Nike","2800000.00","950000.00"
20,"Max Verstappen","Verstappen","Formula 1","2015-01-01",NULL,20,"Red Bull","3200000.00","1000000.00"
21,"Charles Leclerc","Leclerc","Formula 1","2018-01-01",NULL,21,"Ferrari","3000000.00","900000.00"
